time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,business construction,GDPGN,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN,gdp growth rate,business income multiplier,increase amount,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,change to ticket cost,Public Transport Ticket Cost,TCI,Number of Bus Routes,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,increasing railway trips,increaing bus trips,ITRR,daily railway capacity,Daily railway trips,increasing railway lines,increasing bus routes,IRBR,number of trains,MAX CAPACITY RAILWAY,VEHICLES PER LINE,number of bus,VEHICLES PER ROUTE,MAX CAPACITY BUS,daily bus capacity,Daily bus trips,CAR COST KM,Road available,road construction,RCR,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,emissions of greenhouse gases mobility,railway electricity co2 emission,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,railway activity per year,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,DIESEL PETROL RATIO,car diesel co2 emissions,INITIAL RATIO CAR PETROL,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,emissions per year,CO2 CAPTURE PER GREEN AREA,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,co2 capture sea river,CO2 TECHNOLOGIES CAPTURE,emissions of greenhouse gases business,BODY OF WATER M2,GREEN AREA,EpB,Affordability of public transport for the poorest group,daily walk trips,daily chosen bus,daily chosen railway,daily chosen car,construction,Land Use for mobility,Motorization rate number of motorized vehicles per 1000 inhabitants,Railway Daily Occupancy rate,number of mototized private vehicles,Emissions of greenhouse gases,TPC,PRIVATE PARKING CONSTRUCTION,BUS Daily Occupancy rate,PEDESTRIAN SIDEWALK CONSTRUCTION,Mobility space usage
2021,2071,2021,1,1,1288.3996120902839,0.05,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215,0.025,0.0,35.25,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,0.0,0.9,0,94,2,0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.268,400000,0,0,0.5,23963.444607879504,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,615.1323780822528,0.1991,0.1991,0.7788999999999999,0.7789,0.022,0.022,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,6923.071607879511,0.00113,67729.375,0.001,4731.8,9,55429.802,4731800.0,59937500.0,3.439,0.07329867498259597,3333,33333,3333,3333,40,9000,9.236338824702633,0.11694736842105263,1449.1304347826087,0.14464128328280976,2.3,20,0.23974145639212735,20,0.05432322317790855
2022,2071,2021,1,1,1374.69543288408,0.052461443,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215,0.0262307215,0.01635886294965699,37.909950247875,3497.3676466779916,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,0.0,0.9,0,94,2,0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.29,400000,0,0,0.5,132844.0562683194,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,28752.679926540957,0.1991,0.19322598127227505,0.7559202250777249,0.7789,0.022,0.05085379364999999,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,749986816.0,144916938.4628692,38139674.781084515,1525.586991243381,566930202.7560463,80963.30225559098,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,119430.75740529787,0.00113,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,59937500.0,3.439,0.07137546113464274,72458,34471,12340,160528,40,9040,401.24002098609645,0.43298245614035086,69794.78260869566,0.76281472140354,2.3,20,0.24792631156190628,20,0.05190932342173987
2023,2071,2021,1,1,1467.0747825039653,0.068275126,129.52916111121274,-339.7958373693404,3927.747582495062,12830.936821018022,182685.9340695378,22814900.0,0.9999995210707416,1.0451633961542335,0.0284,0.0145,0.00844,265.32651087143637,2.0,1.4131643424969444,18298.380060099058,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3026573699877781,2.6,0.0672,42086.27413822783,2.3,120938.08835403403,2.873575549995847,0.3263286849938891,80,0.662,80,0.0215,0.034137563,0.016387816046699862,50.631466240663705,3589.1490654750824,778.0872334569038,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07183938874989618,1035,3389,841,0.0,0.9,0,94,2,0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.29,400000,0,0,0.5,130287.76626891387,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,27349.547953940728,0.1991,0.1755550970812162,0.6867898800429901,0.7789,0.022,0.13765502287579373,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,785195008.0000001,137844985.85712636,108086036.78819905,4323.441471527963,539263985.3546748,77012.28974850112,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,120745.72029559452,0.00113,67729.375,0.001,4731.8,9,62928.12902668066,4731800.0,59937500.0,3.439,0.06940095875893962,76465,35889,13108,168064,40,9080,400.4271304214439,0.4599298245614035,73071.3043478261,0.713178969867056,2.3,20,0.2581250151038628,20,0.049702786622552876
2024,2071,2021,1,1,1566.0073190068933,0.022612374,139.80966362058967,-355.72374909548614,4111.860540619865,13024.169328997701,191249.3274706914,22814900.0,0.9999995295198009,1.01340034673193,0.0284,0.0145,0.00844,282.75186081010804,2.0,1.4154983916187793,19500.128331731587,0.0103,0.001462,0,0.9821328710240934,74895.60304185066,0.9731993065361402,0.0,1.3119935664751174,2.6,0.0672,44850.29516298264,2.3,126607.05478559772,2.8228811945499372,0.33099678323755877,80,0.662,80,0.0215,0.011306187,0.01641877952700616,17.341332573814302,3711.7213593344477,806.5930995897185,1125.868167422438,2.40354609929078,0.7340425531914894,1533.7914164885387,0.5964539007092199,-0.07057202986374844,1035,3389,841,0.0,0.9,0,94,2,0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.29,400000,0,0,0.5,128302.91394816616,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,26101.894994418188,0.1991,0.15971307418052655,0.6248142314375296,0.7789,0.022,0.21547269438194383,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,823706304.0,131556666.03371935,177486216.7022725,7099.448668090901,514663421.2640081,73499.083190713,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,122893.68028099106,0.00113,67729.375,0.001,4731.8,9,67060.94133282492,4731800.0,59937500.0,3.439,0.06694825436452113,80034,37459,13474,176307,40,9120,401.237057437831,0.4727719298245614,76655.21739130435,0.6708672686330274,2.3,20,0.26941695061928717,20,0.04768644219884968
2025,2071,2021,1,1,1672.0043169889211,0.001935659,151.1549388790004,-371.6389972685513,4295.827118964435,13102.52742793866,199805.91250997374,22814900.0,0.999999538819452,0.9758378728441646,0.0284,0.0145,0.00844,301.3590649539614,2.0,1.417993366607611,20783.38378992837,0.0103,0.001462,0,1.0241621271558354,75035.41270547124,1.042283722522712,0.0,1.321973466430444,2.6,0.0672,47801.78271683525,2.3,132271.51408160263,2.7670832877749154,0.33598673321522204,80,0.662,80,0.0215,0.0009678295,0.016451884782068427,1.5012320329586426,3753.7381257602697,817.876341019786,1138.5974434606635,2.40354609929078,0.7340425531914894,1551.132749062353,0.5964539007092199,-0.0691770821943729,1035,3389,841,0.0,0.9,0,94,2,0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.29,400000,0,0,0.5,131899.1136567276,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,26869.863202287605,0.1991,0.15759035029165103,0.6165099138230387,0.7789,0.022,0.22589973588531032,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,859363008.0000001,135427317.45840693,194129876.53680584,7765.195061472235,529805814.0047873,75661.56829802369,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,130902.99551029126,0.00113,67729.375,0.001,4731.8,9,71474.05685356367,4731800.0,59937500.0,3.439,0.06602465102813586,83370,39532,14183,183939,40,9160,400.66170843104294,0.49764912280701756,79973.47826086957,0.6601361891637895,2.3,20,0.2843266208890162,20,0.045844489209210755
2026,2071,2021,1,1,1785.6249836076624,0.008866088,163.21586806477143,-387.32821130832383,4477.1809371661075,13080.65696105546,208240.97382167942,22814900.0,0.9999995490874029,0.9347474589082949,0.0284,0.0145,0.00844,321.2334211084683,2.0,1.4206614478894293,22154.02904196333,0.0103,0.001462,0,1.065252541091705,75186.56764435025,1.114191946910484,0.0,1.3326457915577177,2.6,0.0672,50954.26679651566,2.3,137855.5246699518,2.7054755830453554,0.3413228957788588,80,0.662,80,0.0215,0.004433044,0.016487272547735635,6.882894754090684,3757.426048501145,821.059261266487,1139.699411655069,2.40354609929078,0.7340425531914894,1552.6339810953116,0.5964539007092199,-0.0676368895761339,1035,3389,841,0.0,0.9,0,94,2,0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.29,400000,0,0,0.5,130943.23467132903,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,26075.0046146359,0.1991,0.14739692428798534,0.5766321663883064,0.7789,0.022,0.27597090932370827,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,891613824.0,131421135.31024909,246059477.7748688,9842.379110994752,514133210.9148821,73423.36385075432,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,134660.76554664093,0.00113,67729.375,0.001,4731.8,9,76187.70587531189,4731800.0,59937500.0,3.439,0.06576869971200958,87185,41621,14936,190842,40,9200,398.84505476726184,0.5240701754385965,82974.78260869566,0.6288062923844091,2.3,20,0.29935136820858405,20,0.044179585943917694
2027,2071,2021,1,1,1907.479365192948,0.008788171,175.24003308898764,-402.6102462397246,4653.828115136599,13020.284732689946,216457.12163426046,22814900.0,0.9999995603572359,0.8951164129571383,0.0284,0.0145,0.00844,342.46709876470663,2.0,1.423515034678,23618.420604462524,0.0103,0.001462,0,1.1048835870428617,75349.78351241502,1.183546277325008,0.0,1.344060138712,2.6,0.0672,54322.367390263804,2.3,143294.61452188043,2.637856584791684,0.34703006935599995,80,0.662,80,0.0215,0.0043940855,0.016525115586485395,6.852650491175159,3774.1419003584606,827.3353773209046,1144.7517492937102,2.40354609929078,0.7340425531914894,1559.5168758494024,0.5964539007092199,-0.06594641461979212,1035,3389,841,0.0,0.9,0,94,2,0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.29,400000,0,0,0.5,128871.22466108817,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,24840.355766807963,0.1991,0.13505354093306454,0.5283435611891711,0.7789,0.022,0.3366028978777643,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,927027584.0,125198357.76182392,312040171.18702257,12481.606847480904,489789055.0511535,69946.77495185524,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,137624.7981198348,0.00113,67729.375,0.001,4731.8,9,81223.74845874662,4731800.0,59937500.0,3.439,0.06526978234010006,90640,43470,15256,198422,40,9240,398.9313640071112,0.535298245614035,86270.4347826087,0.5953660645956342,2.3,20,0.3126499597805711,20,0.04268743818746922
2028,2071,2021,1,1,2038.232735222542,0.008711612,187.19931861076117,-417.4230004903679,4825.050812119842,12926.353828206597,224420.96800557408,22814900.0,0.9999995725085788,0.8571237336560995,0.0284,0.0145,0.00844,365.15977662791613,2.0,1.426566114979938,25183.432870890767,0.0103,0.001462,0,1.1428762663439005,75525.02354550401,1.250033466101826,0.0,1.3562644599197526,2.6,0.0672,57921.89560304876,2.3,148566.68081969005,2.5649485272003103,0.3531322299598763,80,0.662,80,0.0215,0.004355806,0.016565589763997017,6.822801781051446,3790.789200076026,833.8257836969228,1149.7818863563814,2.40354609929078,0.7340425531914894,1566.3695263405775,0.5964539007092199,-0.06412371318000776,1035,3389,841,0.0,0.9,0,94,2,0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.29,400000,0,0,0.5,124261.6619551841,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,22794.010613838225,0.1991,0.12012941898987962,0.4699588370226884,0.7789,0.022,0.40991174398743196,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,956339712.0000001,114884533.95950882,392014879.19035846,15680.59516761434,449440298.8501328,64184.56907878748,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,138397.31259817746,0.00113,67729.375,0.001,4731.8,9,86605.82564299335,4731800.0,59937500.0,3.439,0.06476172967520971,94216,45388,16288,204696,40,9280,396.9297595550551,0.5715087719298245,88998.26086956523,0.5536989839206903,2.3,20,0.3264448211299876,20,0.04135085987049796
2029,2071,2021,1,1,2178.613184799771,0.008636376,199.07260985634107,-431.7150173193772,4990.254232455165,12804.182386331888,232104.84802117047,22814900.0,0.9999995854149792,0.8209156723217859,0.0284,0.0145,0.00844,389.4193345275382,2.0,1.4298276191324093,26856.50582948539,0.0103,0.001462,0,1.1790843276782141,75712.22286411477,1.313397573436875,0.0,1.3693104765296373,2.6,0.0672,61769.963407816394,2.3,153653.40939001486,2.4875101248735967,0.3596552382648187,80,0.662,80,0.0215,0.004318188,0.01660886511354564,6.79334023298688,3807.3692228663585,840.5034045595642,1154.7901131956637,2.40354609929078,0.7340425531914894,1573.1923281216289,0.5964539007092199,-0.06218775312183992,1035,3389,841,0.0,0.9,0,94,2,0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.29,400000,0,0,0.5,118112.00159781585,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,20106.56965157714,0.1991,0.10211192786449268,0.39947252945079537,0.7789,0.022,0.498415542684712,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,992435584.0,101339510.76356366,494645320.1789791,19785.812807159167,396450753.0574573,56617.13204413549,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,138001.3501454161,0.00113,67729.375,0.001,4731.8,9,92359.52354760026,4731800.0,59937500.0,3.439,0.06424721150094184,96677,47313,16519,212422,40,9320,398.2617859662994,0.5796140350877192,92357.39130434784,0.5088734793985982,2.3,20,0.3402900286887085,20,0.04015426683009187
2030,2071,2021,1,1,2329.4187778360306,0.008562427,209.81810281019847,-445.4459337533739,5148.971814891148,12713.136217456771,239487.06115772782,22814900.0,0.9999995989472273,0.7899535349534614,0.0284,0.0145,0.00844,415.3626453564856,2.0,1.433313527832651,28645.699679757625,0.0103,0.001462,0,1.213395286728718,75911.29547397111,1.3667441084108978,0.0,1.383254111330604,2.6,0.0672,65885.10926344253,2.3,158540.43448641582,2.406316636016944,0.366627055665302,80,0.662,80,0.0215,0.0042812135,0.016655125034060664,6.764255973166303,3823.8832489675424,847.3399699940228,1159.776714004984,2.40354609929078,0.7340425531914894,1579.9856683546157,0.5964539007092199,-0.0601579159004236,1035,3389,841,0.0,0.9,0,94,2,0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.29,400000,0,0,0.5,108431.71713917892,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,16280.508648857927,0.1991,0.08039187525839009,0.3145014145593171,0.7789,0.022,0.6051067101822928,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,1020696512.0000001,82055706.66937788,617630308.4708612,24705.212338834448,321010496.85976106,45843.50905654248,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,134474.10333786538,0.00113,67729.375,0.001,4731.8,9,98512.56119868647,4731800.0,59937500.0,3.439,0.06372884782052819,100106,48977,17237,218471,40,9360,396.96712985147485,0.6048070175438597,94987.39130434784,0.4527664944193584,2.3,20,0.3522580418719354,20,0.039083531088284724
